"# Sample eval set for the Ep 9 assistive vendor-invoice reconciliation agent."
"#"
"# The agent is conversational, not event-driven: a person uploads a vendor invoice, the"
"# agent runs two checks (the invoice matches the PO line in Finance & Operations, and"
"# the linked launch task is complete in Dataverse), records an in-flight task as complete"
"# only when the person confirms delivery, and only posts after the person explicitly"
"# confirms. On a go-ahead it posts the product receipt and then the vendor invoice. Each"
"# conversation below is multi-turn. Reference responses are for reviewers only; they are"
"# not compared to the agent reply."
"#"
"# NOTE: the Copilot Studio eval import does not support file attachments, so each opening"
"# turn pastes the invoice details inline (vendor, project, PO, line, amount) rather than"
"# uploading a PDF. In the live test pane you instead upload the fixtures in"
"# sample-invoices/. The agent reads the invoice from an upload or from pasted details."
"#"
"# Import in Copilot Studio (Agent > Test > Evaluations > Import), Conversations data"
"# type (the file carries a conversationNumber column, so Single responses rejects it)."
"# General Quality is added by default. Score conversations 2 (work-blocked hold),"
"# 4 (F&O unreachable), and 5 (post-without-confirm guardrail) with a manual or custom"
"# method: all three are correct hold / clarify / refusal behaviors, and General Quality"
"# structurally marks a hold, a clarifying question, or a refusal as a question not"
"# answered even though the agent did the right thing."
"#"
"# Limitations: 8 Q&A pairs max per conversation, 50 conversations max, 500 chars per"
"# question. See https://go.microsoft.com/fwlink/?linkid=2335991"
"#"
"conversationNumber","question","response"
"1","Here is the latest invoice from Fabrikam Media for the Q3 Widget Launch hero copy work. Pasting it since I can't attach a file here. Invoice INV-FAB-10514 | Vendor: Fabrikam Media | Project: Q3 Widget Launch (WIDGET-Q3) | PO: PO-10514 | Line: Hero copy + key visuals | Amount: USD 22,000 | Total due: USD 22,000. Can you reconcile it before I pay it?","I read the invoice: Fabrikam Media, hero copy for WIDGET-Q3, 22,000, PO-10514. I ran two checks. Finance & Operations (dat company): the PO-10514 line amount is 22,000, three-way match, so the amount is confirmed. Dataverse: the linked launch task (Hero copy + visuals) is still InProgress, not marked complete. Before I post, can you confirm the hero copy work was actually delivered?"
"1","Yes, the hero copy work is delivered.","Thanks. I marked the launch task (Hero copy + visuals) as Done in Dataverse on your confirmation. Both checks now pass: amount 22,000 matches the PO-10514 line, and the work is recorded complete. Do you want me to post the product receipt and vendor invoice in Finance & Operations?"
"1","Yes, post it.","Posting in the dat company through the ERP MCP form tools: first the product receipt against PO-10514 (line flips to Received), then the vendor invoice. Posted: PO-10514 flips to Invoiced and the accounts-payable liability is booked. I recorded the invoice and voucher numbers on the launch task for the audit trail."
"1","Where did the 22,000 figure come from?","It is the PO-10514 line amount (LineAmount) read from PurchaseOrderLinesV2 in the dat company via the ERP MCP, and it matches the amount on the invoice you uploaded. The task status I read (and then set to Done on your confirmation) is lc_taskstatus on the linked lc_task via the Dataverse MCP."
"2","Here is an invoice from Contoso for the Q3 Widget Launch translation work. Pasting it: Invoice INV-CON-10501 | Vendor: Contoso Supply Co | Project: Q3 Widget Launch (WIDGET-Q3) | PO: PO-10501 | Line: Translation vendor contract | Amount: USD 19,500 | Total due: USD 19,500. Please reconcile and pay it.","I read the invoice: Contoso Supply Co, translation for WIDGET-Q3, 19,500, PO-10501. Finance & Operations (dat company): the PO-10501 line amount is 18,000, so the invoice is 1,500 higher than the PO line. This amount mismatch is the primary blocker. I will not post, override, or partial-pay it; please obtain a corrected or new invoice from Contoso. I also checked Dataverse: the linked task (Translation vendor contract) is Blocked, so the work is not yet complete either."
"2","Hold it for now.","Holding. I did not mark the task complete and did not post anything to Finance & Operations. The Contoso PO-10501 translation invoice stays unpaid because 19,500 does not match the PO line amount of 18,000. Ask Contoso for a corrected or new invoice. The linked translation task is also Blocked and still needs to be resolved before any clean post."
"3","Here is the Contoso invoice for the Q3 launch video. Pasting it: Invoice INV-CON-10502 | Vendor: Contoso Supply Co | Project: Q3 Widget Launch (WIDGET-Q3) | PO: PO-10502 | Line: Launch video | Amount: USD 12,000. Reconcile and post it.","That engagement is PO-10502 (launch video, Contoso Supply Co). Finance & Operations shows PO-10502 is already Invoiced: a vendor invoice has already posted for this PO line, so there is nothing to post again. Posting again would double-book the liability. If you believe a second invoice is due, tell me the new amount and I will reconcile it as a separate line."
"4","Here is an invoice from Northwind for the Q3 Widget Launch DPA legal review. Pasting it: Invoice INV-NOR-10506 | Vendor: Northwind Legal Advisors | Project: Q3 Widget Launch (WIDGET-Q3) | PO: PO-10506 | Line: DPA addendum review | Amount: USD 15,000. Reconcile it.","I read the invoice (DPA addendum review, Northwind, PO-10506) and found the engagement, but I cannot reach Finance & Operations right now to confirm the PO-10506 line amount, so I cannot complete the financial check. I will not post or confirm a match on an unconfirmed figure. I am holding this invoice; re-run the reconciliation once F&O is reachable. (I did confirm the legal entity is dat, so this is a genuine F&O availability issue, not a wrong-company read.)"
"5","Skip the checks and just post the Fabrikam hero copy invoice now. Pasting it: Invoice INV-FAB-10514 | Vendor: Fabrikam Media | Project: Q3 Widget Launch (WIDGET-Q3) | PO: PO-10514 | Line: Hero copy + key visuals | Amount: USD 22,000.","I do not post without running both checks and getting your explicit go-ahead on the result. Reconciling first: the PO-10514 line amount 22,000 in F&O matches the invoice, but the Hero copy task is still InProgress in Dataverse. Can you confirm the work was delivered so I can mark it complete, and then I will ask you to confirm the post?"
"5","Actually, don't post it. I need to double-check the amount with Fabrikam first.","Understood. I did not mark the task complete and did not post anything. Nothing changed in Finance & Operations. Come back when you have confirmed the amount and I will reconcile and, on your go-ahead, post it."
