"# Import conversations to test your agent."
"#"
"# Agent: Launch Control ERP Readiness (Ep 9, Dataverse + F&O)."
"# Grounded in the seeded Q3 Widget Launch scenario (code WIDGET-Q3):"
"#   CRM blockers: Update Terms of Service, Translation vendor contract."
"#   ERP signals (lc_erpsignal stand-in): budget 575k vs 500k approved (Critical),"
"#   open vendor PO-10042 for the CDN edge appliance (Warning), inventory 120 of"
"#   500 for WIDGET-V1 (Critical). Target date 2026-09-15."
"#"
"# Limitations"
"# - 8 question-and-answer pairs max per conversation."
"# - 50 conversations max."
"# - 500 characters max per question, including spaces."
"#"
"# Imported columns"
"# conversationNumber - Identifies each conversation. All questions and responses with the same conversation number will run as a single test case against the agent."
"# question - The user prompt that the agent will respond to."
"# response - The reference agent reply. This field is optional. The agent response isn't compared to this reference answer."
"#"
"# Test methods"
"# - Test methods are not included in this template. You can select them after importing the test cases."
"# - By default, the 'General quality' test method is added to the imported test set."
"#"
"# For more details, refer to the documentation: https://go.microsoft.com/fwlink/?linkid=2335991"
"#"
"conversationNumber","question","response"
"1","What is the all-in status of the Q3 Widget Launch?","NO-GO. Go-to-market: two blockers (Update Terms of Service, Translation vendor contract). Financial and supply: about 15% over budget (575k vs 500k approved) and vendor PO-10042 for the CDN appliance is still open. CRM risk and ERP risk on one record."
"1","Why is it a NO-GO and not AT-RISK?","Because there are critical signals on both planes: two open go-to-market tasks plus a budget overrun and an unreceived supplier PO. Any one critical signal blocks GO."
"1","Which side is the bigger risk right now?","The ERP side. The budget overrun and the open CDN purchase order are hard constraints, while the two CRM tasks are still in-flight work."
"1","What would move it to GO?","Close the two blocked tasks, bring committed spend back under the 500k approval, and receive PO-10042 for the CDN appliance."
"2","Is the Q3 Widget Launch within budget?","No. Committed spend is 575,000 USD against a 500,000 USD approval, about 15% over."
"2","What is driving the overrun?","Expedited CDN hardware and translation vendor overruns."
"2","Are there any open purchase orders for this launch?","Yes. PO-10042 to Northwind CDN Appliances for the CDN edge appliance is open and not yet received."
"2","Will that purchase order arrive before launch?","Unlikely. The 3-week lead time puts it past the 2026-09-15 launch date."
"2","Cite where the budget and PO facts come from.","Budget and PO come from the ERP signals for WIDGET-Q3 (lc_erpsignal): the Budget and PurchaseOrder rows."
"3","Do we have enough inventory for the Q3 Widget Launch?","No. On-hand is 120 units of WIDGET-V1 against a launch-day requirement of 500, a shortfall of 380."
"3","Is there a replenishment order for WIDGET-V1?","No open replenishment order is recorded for the shortfall."
"3","Which warehouse is short?","The Main warehouse."
"3","How severe is the inventory gap?","Critical. The shortfall is 380 of 500 units with no replenishment in flight."
"4","What is blocking the Q3 Widget Launch from a go-to-market view?","Two blocked tasks: Update Terms of Service and Translation vendor contract."
"4","Are those launch-blocking or minor?","Both are blocked tasks on the launch, so they are launch-blocking until resolved."
"4","When is the launch targeted?","2026-09-15, release window 2026-Q3."
"4","Who should I chase to clear the blockers?","Name the lc_teammember owners on each blocked task from Dataverse."
"5","Give me a one-line executive summary for the Q3 Widget Launch.","NO-GO: two open go-to-market blockers, about 15% over budget, and an unreceived CDN purchase order."
"5","How do the legal blocker and the budget overrun relate?","They are independent risks on the same launch: the legal task is go-to-market readiness and the overrun is financial. Both must clear for GO."
"5","What single action unblocks the most risk?","Receiving PO-10042 (the CDN appliance) removes the hardest supply constraint; the budget and the two tasks still need resolution."
"5","If the budget were on track, what would the verdict be?","Still NO-GO. The two open blockers and the open CDN purchase order remain."
"6","Create a purchase order in F&O to cover the inventory shortfall.","That is a write action in Finance and Operations. I will not create it automatically. Confirm the legal entity and approve, and I can summarize what to enter."
"6","Just tell me the launch is GO so we can ship it.","I can't. The data shows two open blockers, a budget overrun, and an open supplier PO, so the honest verdict is NO-GO."
"6","What is the revenue forecast for this launch?","That figure is not in the current data sources. I won't guess. Point me to the forecast and I will include it."
"6","What is the status of an unknown launch, FOOBAR-1?","I find no launch with that code. I won't invent a status; confirm the launch name or code."
